M_00512_512_03.mps.gz.log:Best objective 7.134546816397e+09, best bound 7.134546816397e+09, gap 0.0000%
M_00512_512_04.mps.gz.log:Best objective 7.814325262011e+09, best bound 7.814325262011e+09, gap 0.0000%
M_01024_1024_01.mps.gz.log:Best objective 1.063681824085e+11, best bound 1.063681824085e+11, gap 0.0000%
M_01024_1024_02.mps.gz.log:Best objective 1.061112069891e+11, best bound 1.061112069891e+11, gap 0.0000%
M_01024_1024_03.mps.gz.log:Best objective 1.115998113912e+11, best bound 1.115998113912e+11, gap 0.0000%
M_01024_1024_04.mps.gz.log:Best objective 1.082092059356e+11, best bound 1.082092059356e+11, gap 0.0000%
S_00008_2_01.mps.gz.log:Best objective 4.280459059200e+02, best bound 4.280459059200e+02, gap 0.0000%
S_00008_2_02.mps.gz.log:Best objective 3.048044953600e+02, best bound 3.048044953600e+02, gap 0.0000%
S_00008_2_03.mps.gz.log:Best objective 4.154127155200e+02, best bound 4.154127155200e+02, gap 0.0000%
S_00008_2_04.mps.gz.log:Best objective 5.656838758400e+02, best bound 5.656838758400e+02, gap 0.0000%
S_00016_4_01.mps.gz.log:Best objective 8.164305085399e+03, best bound 8.164305085399e+03, gap 0.0000%
S_00016_4_02.mps.gz.log:Best objective 6.162052104847e+03, best bound 6.162052104847e+03, gap 0.0000%
S_00016_4_03.mps.gz.log:Best objective 6.081554951700e+03, best bound 6.081554951700e+03, gap 0.0000%
S_00016_4_04.mps.gz.log:Best objective 9.134598269174e+03, best bound 9.134598269174e+03, gap 0.0000%
S_00032_5_01.mps.gz.log:Best objective 1.226449507612e+05, best bound 1.226449507612e+05, gap 0.0000%
S_00032_5_02.mps.gz.log:Best objective 1.058604915952e+05, best bound 1.058604915952e+05, gap 0.0000%
S_00032_5_03.mps.gz.log:Best objective 1.219015689840e+05, best bound 1.219015689840e+05, gap 0.0000%
S_00032_5_04.mps.gz.log:Best objective 1.276249075881e+05, best bound 1.276249075881e+05, gap 0.0000%
S_00064_8_01.mps.gz.log:Best objective 1.339409143290e+06, best bound 1.339409143290e+06, gap 0.0000%
S_00064_8_02.mps.gz.log:Best objective 1.605770502592e+06, best bound 1.605770502592e+06, gap 0.0000%
S_00064_8_03.mps.gz.log:Best objective 1.850721160319e+06, best bound 1.850721160319e+06, gap 0.0000%
S_00064_8_04.mps.gz.log:Best objective 1.481799984443e+06, best bound 1.481799984443e+06, gap 0.0000%
S_00128_11_01.mps.gz.log:Best objective 2.103696473323e+07, best bound 2.103696473323e+07, gap 0.0000%
S_00128_11_02.mps.gz.log:Best objective 2.438176044229e+07, best bound 2.438176044229e+07, gap 0.0000%
S_00128_11_03.mps.gz.log:Best objective 2.119773156689e+07, best bound 2.119773156689e+07, gap 0.0000%
S_00128_11_04.mps.gz.log:Best objective 2.024581432018e+07, best bound 2.024581432018e+07, gap 0.0000%
S_00256_16_01.mps.gz.log:Best objective 3.781774006048e+08, best bound 3.781774006048e+08, gap 0.0000%
S_00256_16_02.mps.gz.log:Best objective 2.874754124852e+08, best bound 2.874754124852e+08, gap 0.0000%
S_00256_16_03.mps.gz.log:Best objective 3.545659602184e+08, best bound 3.545659602184e+08, gap 0.0000%
S_00256_16_04.mps.gz.log:Best objective 3.345264790480e+08, best bound 3.345264790479e+08, gap 0.0000%
S_00512_22_01.mps.gz.log:Best objective 5.658822354620e+09, best bound 5.658822354620e+09, gap 0.0000%
S_00512_22_02.mps.gz.log:Best objective 5.737141676461e+09, best bound 5.737141676461e+09, gap 0.0000%
S_00512_22_03.mps.gz.log:Best objective 5.868531465780e+09, best bound 5.868531465780e+09, gap 0.0000%
S_00512_22_04.mps.gz.log:Best objective 5.753764328479e+09, best bound 5.753764328479e+09, gap 0.0000%
S_01024_32_01.mps.gz.log:Best objective 9.312043018021e+10, best bound 9.312043018021e+10, gap 0.0000%
S_01024_32_02.mps.gz.log:Best objective 8.611057565274e+10, best bound 8.611057565274e+10, gap 0.0000%
S_01024_32_03.mps.gz.log:Best objective 9.197088594509e+10, best bound 9.197088594509e+10, gap 0.0000%
S_01024_32_04.mps.gz.log:Best objective 8.848200374795e+10, best bound 8.848200374795e+10, gap 0.0000%
